ethnicity,race,gender,preapproval_requested,loan_type,loan_purpose,interest_only_payment,balloon_payment,debt_to_income_ratio,age,income,loan_to_value_ratio
Not Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Home Improvement,No Interest-only Payments,No Balloon Payment,>60%,Older,Poor and Near Poor,< Conventional Bar
Not Hispanic or Latino,White,Female,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,20%-<30%,Young,Middle Class,< Conventional Bar
Not Hispanic or Latino,Black or African American,Male,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,36%-<50%,Middle-Aged,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Female,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,<20%,Older,Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Female,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,36%-<50%,Middle-Aged,Middle Class,> FHA Bar and < VA Bar
Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,36%-<50%,Young,Middle Class,< Conventional Bar
Not Hispanic or Latino,Asian,Female,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,<20%,Young,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,Black or African American,Female,No Preapproval Requested,Converntional,Home Improvement,No Interest-only Payments,No Balloon Payment,36%-<50%,Older,Lower-Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Female,Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,30%-<36%,Young,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Male,No Preapproval Requested,VA-guaranteed,Refinancing,No Interest-only Payments,No Balloon Payment,36%-<50%,Middle-Aged,Middle Class,> FHA Bar and < VA Bar
Not Hispanic or Latino,Black or African American,Male,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,36%-<50%,Older,Middle Class,< Conventional Bar
Not Hispanic or Latino,Black or African American,Male,No Preapproval Requested,FHA-insured,Home Purchase,No Interest-only Payments,No Balloon Payment,36%-<50%,Older,Lower-Middle Class,< Conventional Bar
Not Hispanic or Latino,Black or African American,Female,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,>60%,Older,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Female,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,36%-<50%,Older,Lower-Middle Class,< Conventional Bar
Not Hispanic or Latino,Black or African American,Male,No Preapproval Requested,Converntional,Other Purpose,No Interest-only Payments,Balloon Payment,>60%,Middle-Aged,Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,<20%,Middle-Aged,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,Black or African American,Male,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,20%-<30%,Older,Middle Class,< Conventional Bar
Not Hispanic or Latino,Black or African American,Female,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,20%-<30%,Young,Upper-Middle Class,> FHA Bar and < VA Bar
Not Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,30%-<36%,Middle-Aged,Upper-Middle Class,< Conventional Bar
Hispanic or Latino,White,Male,No Preapproval Requested,VA-guaranteed,Home Purchase,No Interest-only Payments,No Balloon Payment,30%-<36%,Young,Upper-Middle Class,Not Eligible
Not Hispanic or Latino,Black or African American,Female,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,36%-<50%,Middle-Aged,Upper-Middle Class,< Conventional Bar
Hispanic or Latino,White,Female,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,20%-<30%,Young,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,Black or African American,Male,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,36%-<50%,Middle-Aged,Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,30%-<36%,Young,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,Black or African American,Female,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,36%-<50%,Middle-Aged,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,20%-<30%,Young,Upper-Middle Class,> Conventional Bar and < FHA Bar
Not Hispanic or Latino,White,Female,No Preapproval Requested,Converntional,Home Improvement,Interest-only Payments,No Balloon Payment,36%-<50%,Middle-Aged,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Female,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,30%-<36%,Middle-Aged,Upper-Middle Class,> Conventional Bar and < FHA Bar
Not Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Refinancing,Interest-only Payments,No Balloon Payment,36%-<50%,Older,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,Black or African American,Female,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,36%-<50%,Middle-Aged,Poor and Near Poor,Not Eligible
Not Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,36%-<50%,Older,Middle Class,< Conventional Bar
Hispanic or Latino,White,Male,Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,36%-<50%,Middle-Aged,Middle Class,> Conventional Bar and < FHA Bar
Hispanic or Latino,Black or African American,Male,No Preapproval Requested,FHA-insured,Refinancing,No Interest-only Payments,No Balloon Payment,36%-<50%,Older,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,Black or African American,Female,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,30%-<36%,Older,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,36%-<50%,Middle-Aged,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,<20%,Middle-Aged,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Female,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,30%-<36%,Middle-Aged,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,36%-<50%,Young,Upper-Middle Class,< Conventional Bar
Hispanic or Latino,White,Female,Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,30%-<36%,Middle-Aged,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,Black or African American,Female,No Preapproval Requested,Converntional,Home Improvement,No Interest-only Payments,No Balloon Payment,20%-<30%,Older,Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Female,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,36%-<50%,Older,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Male,Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,36%-<50%,Young,Upper-Middle Class,> FHA Bar and < VA Bar
Not Hispanic or Latino,Black or African American,Male,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,<20%,Middle-Aged,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Female,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,36%-<50%,Young,Middle Class,< Conventional Bar
Not Hispanic or Latino,Black or African American,Female,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,36%-<50%,Older,Middle Class,< Conventional Bar
Not Hispanic or Latino,Black or African American,Female,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,36%-<50%,Middle-Aged,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Other Purpose,No Interest-only Payments,No Balloon Payment,20%-<30%,Young,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,Black or African American,Male,No Preapproval Requested,VA-guaranteed,Refinancing,No Interest-only Payments,No Balloon Payment,>60%,Older,Upper-Middle Class,> Conventional Bar and < FHA Bar
Not Hispanic or Latino,Black or African American,Male,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,36%-<50%,Middle-Aged,Middle Class,< Conventional Bar
Not Hispanic or Latino,Black or African American,Female,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,30%-<36%,Middle-Aged,Upper-Middle Class,> FHA Bar and < VA Bar
Not Hispanic or Latino,White,Female,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,36%-<50%,Young,Middle Class,> Conventional Bar and < FHA Bar
Hispanic or Latino,Black or African American,Male,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,36%-<50%,Middle-Aged,Upper-Middle Class,> FHA Bar and < VA Bar
Not Hispanic or Latino,Black or African American,Male,No Preapproval Requested,Converntional,Home Improvement,No Interest-only Payments,No Balloon Payment,>60%,Middle-Aged,Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Refinancing,Interest-only Payments,No Balloon Payment,36%-<50%,Older,Rich,< Conventional Bar
Not Hispanic or Latino,White,Female,No Preapproval Requested,VA-guaranteed,Home Purchase,No Interest-only Payments,No Balloon Payment,50%-60%,Middle-Aged,Upper-Middle Class,> Conventional Bar and < FHA Bar
Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Home Improvement,No Interest-only Payments,No Balloon Payment,36%-<50%,Middle-Aged,Poor and Near Poor,< Conventional Bar
Not Hispanic or Latino,Minority Races,Male,No Preapproval Requested,Converntional,Refinancing,Interest-only Payments,No Balloon Payment,30%-<36%,Middle-Aged,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,36%-<50%,Middle-Aged,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,30%-<36%,Middle-Aged,Upper-Middle Class,> Conventional Bar and < FHA Bar
Not Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,>60%,Older,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,36%-<50%,Middle-Aged,Upper-Middle Class,< Conventional Bar
Hispanic or Latino,Black or African American,Female,No Preapproval Requested,Converntional,Other Purpose,No Interest-only Payments,No Balloon Payment,30%-<36%,Older,Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,30%-<36%,Young,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,20%-<30%,Middle-Aged,Middle Class,> Conventional Bar and < FHA Bar
Not Hispanic or Latino,Black or African American,Male,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,36%-<50%,Middle-Aged,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,Black or African American,Female,Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,36%-<50%,Middle-Aged,Middle Class,Not Eligible
Not Hispanic or Latino,Asian,Male,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,30%-<36%,Middle-Aged,Middle Class,< Conventional Bar
Not Hispanic or Latino,Black or African American,Female,No Preapproval Requested,Converntional,Home Improvement,No Interest-only Payments,No Balloon Payment,30%-<36%,Older,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,Asian,Female,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,36%-<50%,Middle-Aged,Middle Class,> Conventional Bar and < FHA Bar
Not Hispanic or Latino,Black or African American,Female,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,20%-<30%,Middle-Aged,Middle Class,> FHA Bar and < VA Bar
Not Hispanic or Latino,Asian,Male,Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,36%-<50%,Middle-Aged,Poor and Near Poor,> Conventional Bar and < FHA Bar
Not Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,20%-<30%,Middle-Aged,Upper-Middle Class,< Conventional Bar
Not Hispanic or Latino,Asian,Female,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,>60%,Middle-Aged,Upper-Middle Class,> Conventional Bar and < FHA Bar
Not Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Home Improvement,Interest-only Payments,Balloon Payment,36%-<50%,Older,Lower-Middle Class,< Conventional Bar
Not Hispanic or Latino,White,Male,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,36%-<50%,Young,Middle Class,< Conventional Bar
Hispanic or Latino,Black or African American,Female,No Preapproval Requested,FHA-insured,Refinancing,No Interest-only Payments,No Balloon Payment,50%-60%,Middle-Aged,Lower-Middle Class,< Conventional Bar
Not Hispanic or Latino,Black or African American,Female,No Preapproval Requested,Converntional,Home Purchase,No Interest-only Payments,No Balloon Payment,36%-<50%,Middle-Aged,Middle Class,< Conventional Bar
Not Hispanic or Latino,Black or African American,Male,No Preapproval Requested,Converntional,Refinancing,No Interest-only Payments,No Balloon Payment,30%-<36%,Older,Middle Class,< Conventional Bar
